track_id,rows,genres
0B2RttXEiyXsMeQ7mMP3EI,3,3
0B52FTK1sTf84zLxHWWPTv,2,2
0B6QOJU4D9nLqKeNNSVEvh,2,2
0B6oBwvkyLptGexpwJVz7c,2,2
0B7FbDb0GQxMX5KSXGv3sg,3,3
0B88ZwGCujSnIgnVzzqW5l,2,2
0BF0gUNYa2pY99xzi2HEYG,2,2
0BFWUoOu91FcOEtpTdWFrN,3,3
0BFtrq3fyv1kRcId4o18mK,2,2
0BIpEYy15QaMusucc8H0l7,2,2
0BNfmNj23fWWufyAIeX9aO,2,2
0BOivei4EFBvk7CKwEwaZf,3,3
0BRHnOFm6sjxN1i9LJrUDu,2,2
0BRtjY6BHMic4e901yeGil,3,3
0BRxNhdR54OhX5M2EJCWEl,2,2
0BUuuEvNa5T4lMaewyiudB,2,2
0BWhmRyHvBLMcEJDAos2PD,2,2
0BZW5HA4Iw85L02qej9RPJ,2,2
0BaVcB3Mn8QgGUdEi2yqCb,5,5
0Bfima51LTKrxuBYjv0Qwp,2,2
0BgSIWlf1zulLvRyNtjCtg,3,3
0BhLfxWA4TwGu8bGVKBotN,2,2
0Bhf80gwbCronwcRHW8EZF,2,2
0BiVnPxkDSfZx3BjNDQrGg,4,4
0BkfeemCDp8WmuKVnrwBaN,3,3
0Bl1Gt8R9kjz7JO7SYAuhe,2,2
0BmDnvzaP80sTEdyrtdICS,3,3
0Bns7Z5qu5gwuZVN3ht5vN,3,3
0BokBQTPRsjfIt8TreLzu9,2,2
0Bv0qHGKNiwzDtHzXrjmIn,2,2
0BxE4FqsDD1Ot4YuBXwAPp,3,3
0BzRlHCiks2DGlfsEKy54f,2,2
0BzXo4hVmCi4Hy49X1BtRs,3,3
0C0LsZeUyAG50xJKEIpBgY,2,2
0C0m1E608umzcKx6D0bUm5,2,2
0C1DEVNH2WCyn6tfvvDdEy,2,2
0C4KChnQFHNgtjbppUFooH,2,2
0C6dSPCqwKqwos6s1CrDrh,3,3
0C6zhAFFZ4WbyzD93jZx0Z,3,3
0C79m0V3CqruSMxOvHCwt3,2,2
0CDucx9lKxuCZplLXUz0iX,2,1
0CEgZkZWsT4tDNj15BX1fY,2,2
0CF1X2oxbHWyFNPG2CPeNX,2,2
0CMFmZVu2ChSHuGu1tzhjG,2,2
0COqiPhxzoWICwFCS4eZcp,2,2
0CQqvd7bTiiRTDZzNmjifI,2,2
0CTwPdDmkeTYCVx2j13ZMc,3,3
0CaAQYzg0k2poWXt30rCz0,3,3
0CaBBQsaAiRHhiLmzi7ZRp,2,2
0CawrCDxkBgaR2ImcpQYMm,3,3
0CdKhIzLFUeKSZimBwuVF4,2,2
0CflRiqtl8oVKuvscVgy6F,2,2
0CfthwI2zWPVci5b2ZwA5F,2,2
0CkDv2V3FFhltON32OwE0x,2,2
0CkwGzywZ3js4Hcmb0RkQn,2,2
0CnhOYwugNMgSQWvgB9YBB,2,2
0CoYJSj7z3XiUqyIyxY0hO,2,2
0Cp85ha3RN0FDytbku8nzq,2,2
0CpD1QAw1DFevvlvjGkAO9,2,2
0CqCpm4LLQbHUX5ysizWJS,2,2
0CrCW8u5hXD6Ztd7V8ay1i,2,2
0Cro1lolgliyLKxGptK6RZ,2,2
0CsM8VGDi38kusMv3pxyj1,2,2
0CwLue2qwkPcQpovNGNtVx,2,2
0CxkmF72bUmXLVKpnTP9r3,2,2
0Cy7wt6IlRfBPHXXjmZbcP,6,6
0CyUdgFb9ukEGHKOFXHheo,2,2
0Cz5S00ll33KRLVyZMe8Yi,2,2
0CzptLVu8meMD9m5jKpueg,2,1
0D0ZwI5RWUb9l1GQMmRS5R,2,2
0D1OY0M5A0qD5HGBvFmFid,2,2
0D1pEisM3QkiacGXJe5dmd,2,2
0D3VbWMK9GhdajZbbqRdqp,2,2
0D3Z0cjHZ7YSUnFi3EEkdV,3,3
0D5oADYCG5QbPKk3QEOP1F,4,4
0DBBQaDg8YPePplq7m7Cah,4,4
0DDkW8j34M5hvxj79uGmK7,2,2
0DG6fEabZitI14GPlKvE1M,2,2
0DHBe3RkyM9V4InBW7DZqS,4,4
0DHpr7eLBrRZvlXa4sNwhd,2,2
0DIYusRuEUeZaD5bEeXsGG,2,2
0DLvpi8qTOTbS7Qet7AsCi,2,2
0DMRKqrpd0QO4RWiEdMib0,2,2
0DMgXXS27oK9z8clKWU0Ok,2,2
0DUJZXdp0XGbRafeTKA3TJ,2,2
0DXfJ2iKRDEG7rPgssWFea,2,2
0DZKuCQD8cLvm28yd74Z9a,2,2
0DaMxhrFFLWFSs41y64XdP,2,2
0Dh3d5wUSDiqxdajrrWX3t,4,4
0DiTeEH38dwM9Vstp4R5dj,2,2
0Dkibk70FDp6t7eOZNemNQ,2,2
0DlsNqeniWBaquLExBPmEZ,2,2
0DmAvNCAK08oCi7miSZUIY,2,2
0DnGfA1r8pAssJCuq4ojla,3,3
0DnZgTbQaUps8KG08ykZYp,2,2
0DqLuhTD1xI8mb2gY5YoLM,2,2
0Dsj4OiiWw4WkgbAkQaMY1,2,2
0DuWDLjriRPjDRoPgaCslY,2,2
0DwaOWI1kC2s98qLj0LTDd,2,2
0DwlpQONUcfEpUXuIR2Keb,3,3
0DzCkhTWcCQQCb0son0e0G,2,2
0DzcFzEdZioULwgls86VSj,2,2
